full_name,ram,ssd/hdd,graphics_card,display_size,price
Acer Aspire 3 2021 Intel Celeron , 4GB RAM , 1TB HDD ,No Graphics Card," 14"" HD Display","NPR45,000.00"
Acer TravelMate Spin B3 2-In-1 Intel Celeron , 4GB RAM , 128GB SSD ,No Graphics Card," 11.6"" TouchScreen Display","NPR48,000.00"
Acer Aspire 3 2021 I3 11Th Gen , 4GB RAM , 1TB HDD ,No Graphics Card," 15.6"" FHD Display","NPR60,000.00"
Acer Aspire 3 14 Ryzen 3 3250U , 4GB RAM , 1TB HDD ,No Graphics Card," 14"" HD Display","NPR60,000.00"
Acer Aspire 5 2020 10th Gen I3 , 4GB RAM , 256GB SSD ,No Graphics Card," 14"" HD Display","NPR61,000.00"
Acer Aspire 5 2021 11th Gen I3 , 4GB RAM , 1TB HDD ,No Graphics Card," 15.6"" HD Display","NPR62,000.00"
Acer Aspire 3 Core I5 10Th Gen , 4GB RAM , 1TB HDD ,No Graphics Card," 15.6"" HD Display","NPR71,000.00"
Acer Aspire 3 14 Ryzen 5 3500 , 4GB RAM , 256GB SSD ,No Graphics Card," 14"" HD Display","NPR75,000.00"
Acer Aspire 5 2021 I5 11th Gen , 4GB RAM , 1TB HDD ,No Graphics Card," 15.6"" HD Display","NPR77,000.00"
Acer Swift 3 2021 Ryzen 3 5300U , AMD Vega 8 , 8GB RAM , 256GB SSD ," 14"" FHD Display","NPR79,000.00"
Acer TravelMate I5 10th Gen , 8GB RAM , 256GB SSD ,No Graphics Card," 14"" Full-HD Display","NPR80,000.00"
Acer Aspire 5 2021 Ryzen 5 5500U , 8GB RAM , 1TB HDD ,No Graphics Card," 15.6"" FHD Display","NPR85,000.00"
Acer Swift 3 2021 Ryzen 5 5500U , AMD Vega 8 , 8GB RAM , 256GB SSD ," 14"" FHD Display","NPR88,000.00"
Acer Aspire Fun S40 2021 I5 11th Gen , 16GB RAM , 512GB SSD ,No Graphics Card," 14"" FHD Display","NPR90,000.00"
Acer Aspire 5 2021 I5 11th Gen , NVIDIA MX350 Graphics , 8GB RAM , 256GB SSD ," 14"" FHD Display","NPR90,000.00"
Acer Aspire 5 2021 I5 11th Gen , 8GB RAM , 512GB SSD ,No Graphics Card," 15.6"" FHD Display","NPR92,000.00"
