full_name,ram,ssd/hdd,graphics_card,display_size,price
Asus VivoBook E410MA Celeron , 4GB RAM , 256GB SSD ," 14"" HD ", Windows Genuine,"NPR49,000.00"
ASUS VIVOBOOK X415MA Celeron Dual Core , 4GB RAM, 256GB SSD ," 14"" HD", WINDOWS GENUINE,"NPR49,300.00"
Asus VivoBook E510 Celeron 10th Gen , 4GB RAM , 256GB SSD ,No Graphics Card," 15.6"" Display","NPR49,400.00"
Asus VivoBook 14 X415JA I3 10th Gen , 4GB RAM, 256GB SSD ,No Graphics Card," 14"" FHD Display","NPR63,000.00"
Asus VivoBook 14 X415EA I3 11th Gen , 4GB RAM , 256GB SSD , Backlight Keyboard ,"14"" FHD Display","NPR67,000.00"
Asus VivoBook 14 X413EA I3 11th Gen , 4GB RAM , 256GB SSD ," 14"" FHD Display ", Metal Body ,"NPR67,000.00"
ASUS VIVOBOOK X409JA I5 10TH GEN, 4GB RAM, 256GB SSD," 14"" FHD", WINDOWS GENUINE,"NPR75,000.00"
Asus VivoBook Flip 14 TM420IA Ryzen 3 4300U , 4GB RAM, 256GB SSD ," 14"" FHD 360 Touch Display ", Stylus Support,"NPR81,000.00"
ASUS VIVOBOOK X509JP I5 10TH GEN, NVIDIA MX330, 4GB RAM, 1TB HDD, 15.6FHD,"NPR87,000.00"
Asus VivoBook 15 X515JA I5 10th Gen , 8GB RAM , 512GB SSD ," 15.6"" FHD Display ", Backlit Keyboard,"NPR88,500.00"
ASUS VIVOBOOK X515EA I5 11TH GEN, 8GB, 256GB," 15.6"" FHD", LONG BATTERY,"NPR90,000.00"
Asus VivoBook 14 X415EA I5 11th Gen , 8GB RAM , 512GB SSD ," 14"" FHD Display ", Fingerprint ,"NPR93,000.00"
Asus VivoBook 15 M513IA Ryzen 5 5500U , 8GB RAM, 256GB SSD ,No Graphics Card," 15.6"" FHD Display","NPR93,000.00"
Asus VivoBook 14 X413EA I5 11th Gen , 8GB , 256GB ," 14"" FHD Display ", Metal Body ,"NPR95,000.00"
Asus VivoBook 15 X515EP I5 11th Gen , NVIDIA MX330 , 8GB RAM , 512GB SSD ," 15.6"" FHD Display ","NPR102,000.00"
