full_name,ram,ssd/hdd,graphics_card,display_size,price
Dell Vostro 3510 I3 11th Gen , 4GB RAM , 1TB HDD ,No Graphics Card," 15.6"" HD Display","NPR60,000.00"
Dell Latitude 3410 I3 10th Gen , 4GB RAM , 1TB HDD ,No Graphics Card," 14"" HD Display","NPR62,000.00"
Dell Inspiron 3511 I3 11th Gen , 4GB RAM , 256GB SSD ,No Graphics Card," 15.6"" FHD Display","NPR64,000.00"
Dell Vostro 3510 I5 11th Gen , 4GB RAM , 1TB HDD ,No Graphics Card," 15.6"" FHD Display","NPR77,000.00"
Dell Latitude 3420 I5 11th Gen , 4GB RAM , 1TB HDD ,No Graphics Card," 14"" HD Display","NPR81,000.00"
Dell Vostro 3510 I5 11th Gen , 8GB RAM , 256GB HDD ,No Graphics Card," 15.6"" FHD Display","NPR82,000.00"
Dell Inspiron 3511 I5 11th Gen , 8GB RAM , 256GB SSD ,No Graphics Card," 15.6"" FHD Display","NPR82,000.00"
Dell Inspirion 3501 I5 11th Gen , 4GB RAM , 1TB HDD , Nvidia MX330 2GB ," 15.6"" FHD Display ","NPR85,990.00"
Dell Inspirion 5505 Ryzen 5 4500 , 8GB RAM , 256GB SSD , VEGA 8 ," 15.6"" FHD Display","NPR91,000.00"
Dell Vostro 3400 I5 11th Gen , 8GB RAM , 256GB SSD , Nvidia MX330 ," 14"" FHD Display","NPR91,000.00"
Dell Inspirion 3501 I5 11th Gen , 8GB RAM , 512GB SSD , Nvidia MX330 2GB ," 15.6"" FHD Display","NPR93,000.00"
Dell Inspiron 5415 Ryzen 5 5500U , 8GB RAM , 256GB SSD , Vega 8 ," 14"" FHD Display","NPR95,000.00"
Dell Inspiron 5515 Ryzen 5 5500U , 8GB RAM , 256GB SSD , Vega 8 ," 15.6"" FHD Display","NPR95,000.00"
Dell Inspiron 7405 2-In-1 Ryzen 5 4500U , 8GB RAM , 256GB SSD ,No Graphics Card, 14'' FHD 360-Degree Touch Screen Display,"NPR95,000.00"
Dell Inspiron 5593 I5 10th Gen , MX230 2GB Graphics , 8GB RAM , 512GB SSD , 15'' FHD Display,"NPR95,000.00"
Dell Inspiron 3505 Ryzen 7 3700U , 8GB RAM , 512GB SSD , Vega 8," 15.6"" FHD Display","NPR98,000.00"
Dell Inspiron 5493 I5 10th Gen , MX230 2GB Graphics , 8GB RAM , 512GB SSD , 14'' FHD Display,"NPR98,000.00"
Dell Inspiron 3511 I5 11th Gen , Nvidia MX350 Graphics , 8GB RAM , 512GB SSD ," 15.6"" FHD Display","NPR99,000.00"
Dell Inspiron 7405 2-In-1 Ryzen 5 4500U , 8GB RAM , 256GB SSD ,No Graphics Card, 14'' FHD 360-Degree Touch Screen Display,"NPR105,000.00"
Dell Inspirion 3501 I7 11th Gen , 8GB RAM , 512GB SSD , Nvidia MX330 ," 15.6"" FHD Display","NPR114,000.00"
Dell Inspiron 5510 I5 11th Gen , 8GB RAM , 512GB SSD ," 15.6"" FHD Display ", Backlight Keyboard,"NPR114,500.00"
Dell Vostro 3510 I7 11th Gen , 8GB RAM , 512GB HDD , NVIDIA MX350 ," 15.6"" FHD Display","NPR115,000.00"
Dell Inspiron 7506 2-In-1 I5 11Th Gen , 12GB RAM , 512GB SSD ,No Graphics Card, 15.6'' FHD 360-Degree Touch Screen Display,"NPR115,000.00"
Dell Inspiron 5391 I5 10th Gen , 8GB RAM , 512GB SSD , NVIDIA MX250 , 13.3'' FHD Display,"NPR115,000.00"
Dell Inspiron 7391 I5 10th Gen , 8GB RAM , 256GB SSD ,No Graphics Card, 13.3'' FHD Display,"NPR118,000.00"
Dell Inspiron 7490 I5 10th Gen , 8GB RAM , 256GB SSD ,No Graphics Card, 14'' FHD Touch Display,"NPR118,000.00"
Dell G5 2021 G5510 I5 10th Gen , GTX 1650 , 8GB RAM , 256GB SSD ," 15.6"" 120Hz FHD Display","NPR118,000.00"
Dell Inspiron 5515 Ryzen 7 5700U , 8GB RAM , 512GB SSD , Vega 8 ," 15.6"" FHD Display","NPR119,000.00"
Dell Inspiron 5415 Ryzen 7 5700U , 8GB RAM , 512GB SSD , Vega 8 ," 14"" FHD Display","NPR119,000.00"
Dell Inspiron 5402 I5 11th Gen , 8GB RAM , 512GB SSD , Nvidia MX350 ," 14"" FHD Display","NPR119,000.00"
Dell Inspiron 7300 2-In-1 I5 10th Gen , 8GB RAM , 512GB SSD ,No Graphics Card, 13.3'' FHD 360-Degree Touch Screen Display,"NPR119,000.00"
Dell Inspiron 7490 I7 10th Gen , 8 GB RAM , 512GB SSD ,No Graphics Card," 14"" FHD Display","NPR120,000.00"
Dell Inspiron 5400 2-In-1 I7 10th Gen , 8GB RAM , 512GB SSD ,No Graphics Card," 14"" FHD X360 Touch Display","NPR121,000.00"
Dell Inspiron 3511 I7 11th Gen , 8GB RAM , 512GB SSD , Nvidia MX350 ," 15.6"" FHD Display","NPR124,000.00"
Dell Inspiron 7490 I5 10th Gen , NVIDIA MX250 , 8GB RAM , 512GB SSD , 14'' FHD Display,"NPR125,000.00"
Dell G3 G3500 I5 10th Gen , NVIDIA GTX 1650TI , 8GB RAM , 512GB SSD ," 15.6"" 120Hz FHD Display","NPR125,000.00"
Dell Inspiron 5310 I5 11th Gen , 8GB RAM , 512GB SSD ,No Graphics Card," 13.3"" FHD Display","NPR127,000.00"
Dell Inspiron 5490 I7 10th Gen , NVIDIA MX250 Graphics , 8GB RAM , 512GB SSD ," 14"" FHD","NPR128,000.00"
Dell Inspiron 5410 2-In-1 I5 11th Gen , 8GB RAM , 512GB SSD ," 14"" FHD 360 Touch Display ", Active Stylus,"NPR129,000.00"
Dell Inspiron 5510 I7 11th Gen , 8GB RAM , 512GB SSD ," 15.6"" FHD Display ", Backlight Keyboard,"NPR131,500.00"
Dell Inspiron 5310 I5 11th Gen , 16GB RAM , 512GB SSD ,No Graphics Card," 13.3"" FHD Display","NPR135,000.00"
Dell G5 2021 G5511 I5 11th Gen , RTX 3050 , 16GB RAM , 512GB SSD ," 15.6"" 120Hz FHD Display","NPR135,000.00"
Dell G3 G3500 I5 10th Gen , NVIDIA GTX 1660TI , 16GB RAM , 512GB SSD ," 15.6"" FHD Display","NPR135,000.00"
Dell Inspiron 5310 I7 11th Gen , 8GB RAM , 512GB SSD ,No Graphics Card," 13.3"" FHD Display","NPR140,000.00"
Dell Inspiron 5310 I7 11th Gen , 16GB RAM , 512GB SSD ,No Graphics Card," 13.3"" QHD Display","NPR145,000.00"
Dell Inspiron 7501 I5 10th Gen , 8GB RAM , 512GB SSD , Nvidia GTX 1650ti ," 15.6"" FHD Display","NPR147,000.00"
Dell Inspiron 7391 I7 10th Gen , NVIDIA MX250 , 8GB RAM , 512GB SSD , 13.3'' FHD Display,"NPR148,000.00"
Dell G5 15 SE 2020 Gaming Laptop Ryzen 7 4800H , AMD RX 5600M 6144MB , 8GB RAM , 512GB SSD ," 15.6"" FHD 144Hz Display","NPR150,000.00"
Dell Inspiron 5406 2-In-1 I7 11th Gen , 8GB RAM , 512GB SSD , NVIDIA MX350 ," 14"" FHD X360 Touch Display ","NPR153,000.00"
Dell XPS 13 7390 I7 10 GEN, 8GB RAM , 256GB SSD ,No Graphics Card, 13.3'' FHD Display,"NPR155,000.00"
Dell Inspiron 7490 I7 10th Gen , NVIDIA MX250 Graphics , 16GB RAM , 512GB SSD ," 14"" FHD Display","NPR156,000.00"
Dell G3 G3590 I7 9th Gen , NVIDIA GTX 1660Ti , 16GB RAM , 256GB SSD , 1TB HDD ,"NPR156,000.00"
Dell G5 15 G5500 2020 Gaming Laptop I7 10Th Gen , GTX 1660Ti 6GB , 16GB RAM , 512GB SSD ," 15.6"" FHD 144Hz Display","NPR159,000.00"
