full_name,ram,ssd/hdd,graphics_card,display_size,price
Lenovo IdeaPad L3 15ITL6 Celeron 10th Gen , 4GB RAM , 256GB SSD ,No Graphics Card," 15.6"" FHD Display","NPR48,000.00"
Lenovo IdeaPad Flex 3 11ADA05 2021 AMD Athlon , 4GB RAM , 256GB SSD ,No Graphics Card," 11.6"" FHD 360 Touch Display","NPR58,000.00"
Lenovo IdeaPad S145 (14) I3 10th Gen , 4GB RAM , 1TB HDD ,No Graphics Card," 14"" HD Display","NPR59,000.00"
Lenovo IdeaPad Duet 3i Celeron , 4GB RAM , 64GB Storage ,No Graphics Card," 10.3"" FHD TouchScreen Display","NPR60,000.00"
Lenovo IdeaPad 3 14ITL6 2021 I3 11th Gen , 8GB RAM , 256GB SSD + 1TB HDD ," 14"" FHD Display ", Backlight Keyboard,"NPR70,000.00"
Lenovo IdeaPad Flex 5 14ARE05 2-In-1 Ryzen 3 4300U , 4GB RAM , 128GB SSD ,No Graphics Card," 14"" FHD 360 TouchScreen Display","NPR72,000.00"
Lenovo Ideapad 3 15 2021 Ryzen 5 5500U , 8GB RAM , 256GB SSD ," 15.6"" FHD Display ", Backlight Keyboard,"NPR85,000.00"
Lenovo IdeaPad L3 15ITL6 I5 11Th Gen , 8GB RAM , 512GB SSD ,No Graphics Card," 15.6"" FHD Display","NPR88,000.00"
Lenovo Ideapad 5 15 2021 I5 11th Gen , 8GB RAM , 512GB SSD ," 15.6"" FHD Display ", Backlight Keyboard,"NPR95,000.00"
Lenovo IdeaPad 3 2021 14ITL6 I5 11th Gen , MX350 Graphics Card , 16GB RAM , 256GB SSD + 1TB HDD ," 14"" FHD Display ","NPR97,000.00"
Lenovo Ideapad 5 2020 I7 10th Gen , 12GB RAM , 512GB SSD ,No Graphics Card," 15.6"" FHD Display Touchscreen","NPR97,000.00"
Lenovo Flex 14 2020 Ryzen 5 4500U , 16GB RAM , 256GB SSD ," 14"" FHD 360-Degree Touch Display ", Lenovo Active Stylus,"NPR105,000.00"
Lenovo Yoga C740 I5 10th Gen , 8GB RAM , 256GB SSD ,No Graphics Card," 14"" FHD X 360 Touchscreen","NPR105,000.00"
Lenovo Ideapad 5 14 RYZEN 7 4700U, 8GB RAM, 256GB SSD, VEGA 8," 14"" FHD","NPR105,000.00"
Lenovo IdeaPad Gaming L340 15 I5 9300H , GTX 1650 , 8GB RAM , 256GB SSD + 1TB HDD ," 15.6"" FHD","NPR108,000.00"
Lenovo Legion Y540 I5 9th Gen , GTX 1650 , 8GB RAM , 256GB SSD + 1TB HDD ," 15.6"" FHD Display","NPR110,000.00"
Lenovo ThinkBook 15 I7 10th Gen , 8GB RAM , 1TB HDD ,No Graphics Card," 15.6"" FHD Display","NPR110,000.00"
Lenovo Yoga 7i I5 11th Gen , 8GB RAM , 256GB SSD ,No Graphics Card," 15.6"" FHD 360-Degree Touchscreen","NPR112,000.00"
Lenovo IdeaPad Gaming 3 15 RYZEN 5 5600H, GTX 1650 , 8GB RAM , 256GB SSD ," 15.6"" FHD 120Hz","NPR115,000.00"
Lenovo Flex 14 2021 Ryzen 5 5500U , 16GB RAM , 256GB SSD ," 14"" FHD 360-Degree Touch Display ", Active Stylus,"NPR118,000.00"
Lenovo Legion 5 Ryzen 5 4600H , GTX 1650ti , 8GB RAM , 256GB SSD , 1TB HDD ,"NPR120,000.00"
Lenovo IdeaPad Gaming 3 2021 I5 11Th Gen , GTX 1650 , 8GB RAM , 512GB SSD ," 15.6"" FHD 120Hz ","NPR125,000.00"
Lenovo Flex 15 2021 Ryzen 7 5700U , 16GB RAM , 512GB SSD ," 15.6"" FHD 360-Degree Touch Display ", Active Stylus,"NPR125,000.00"
