full_name,ram,ssd/hdd,graphics_card,display_size,price
MSI Modern 15 A4SX Ryzen 5 4500U , AMD Radeon Graphics , 8GB RAM , 512GB SSD ," 15.6"" FHD Display","NPR98,000.00"
MSI Modern 15 A5M Ryzen 5 5500U , AMD Radeon Graphics , 8GB RAM , 256GB SSD ," 15.6"" FHD Display","NPR100,000.00"
MSI Modern 14 B4MW Ryzen 5 4500U , AMD Radeon Graphics , 8GB RAM , 256GB SSD ," 14"" FHD Display","NPR104,000.00"
MSI GF63 Thin 9SCX I5 9TH GEN , GTX 1650 , 8GB RAM , 256GB SSD ," 15.6"" FHD Display","NPR108,000.00"
MSI Modern 15 A10M I5 10th Gen , 8GB RAM , 512GB SSD ,No Graphics Card," 15.6"" FHD Display","NPR110,000.00"
MSI Modern 14 B4MW Ryzen 7 4700U , 8GB RAM , 256GB SSD ,No Graphics Card," 14"" FHD Display","NPR113,000.00"
MSI GF63 Thin 10SC I5 10TH GEN , GTX 1650 , 8GB RAM , 256GB SSD ," 15.6"" FHD Display ","NPR115,000.00"
MSI GF63 9SCSR I5 9TH GEN, 8GB RAM, 256GB SSD , GTX 1650TI ," 15.6"" FHD 144Hz","NPR125,000.00"
MSI GF63 Thin 10UD I5 10TH GEN , RTX 3050Ti , 8GB RAM , 512GB SSD ," 15.6"" 144Hz FHD Display ","NPR128,000.00"
MSI Bravo 15 A4DCR Ryzen 5 4600H , RX5300M , 8GB RAM , 512GB SSD ," 15.6"" 144Hz FHD Display","NPR128,000.00"
MSI Modern 14 B11SB I5 11th Gen , GeForce MX450 , 8GB RAM , 512GB SSD ," 14"" FHD","NPR135,000.00"
MSI Modern 15 A11SB I5 11th Gen , GeForce MX450 , 8GB RAM , 512GB SSD ," 15.6"" FHD","NPR137,000.00"
MSI Summit B15 A11M I5 11th Gen , 8GB RAM , Iris Xe , 512GB SSD ," 15.6"" FHD Display","NPR138,000.00"
MSI GF63 Thin 10SCXR I7 10TH GEN , GTX 1650 , 8GB RAM , 512GB SSD ," 15.6"" FHD","NPR140,000.00"
MSI Bravo 15 A4DDR Ryzen 7 4800H , RX5500M , 8GB RAM , 512GB SSD , 15.6'' 144Hz FHD Display,"NPR145,000.00"
MSI Modern 14 B11SB I7 11th Gen , MX450 , 8GB RAM , 512GB SSD ," 14"" FHD Display","NPR147,000.00"
MSI Modern 15 A11SB I7 11th Gen , GeForce MX450 , 8GB RAM , 512GB SSD ," 15.6"" FHD Display","NPR148,000.00"
MSI GL65 9ScK I7 9TH GEN, 256GB SSD, 8GB RAM, GTX 1650," 15.6"" 120Hz FHD Display","NPR150,000.00"
